rubro_etr,industria_mip,codigo_mip,justificacion
GastoAlimentacion,Servicio de alimento y bebida,A.81,Rubro gastronomico de la ETR mapea directo a la industria A.81 de la MIP BCU 2016 (restaurantes y bares)
GastoAlojamiento,Alojamiento,A.80,Hoteles y alojamiento turistico
GastoTransporte,Transporte de pasajeros por via terrestre,A.73,Transporte interno de turistas (aproximacion: pasajeros via terrestre)
GastoCultural,Actividades artisticas de entretenimiento y recreativas,A.104,Espectaculos museos y actividades culturales
GastoTours,Actividades de agencias de viajes y operadores turisticos,A.93,Tours y excursiones organizadas
GastoCompras,Comercio al por mayor y al por menor excepto vehiculos,A.71,Compras de turistas en comercios
GastoOtros,Actividades de peluquerias y otras actividades de servicios,A.107,Rubro residual de la ETR (aproximacion a servicios personales)
